type,x_0,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,x_10,x_11,x_12,x_13,x_14,x_15,x_16,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,x_27,x_28,x_29,x_30,x_31,x_32,x_33,x_34,x_35,x_36,x_37,x_38,x_39,x_40,x_41,x_42,x_43,x_44,x_45,x_46,x_47,x_48,x_49,x_50,x_51,x_52,x_53,x_54,x_55,x_56,x_57,x_58,x_59,x_60,x_61,x_62,x_63
RSM0027,0.3393697,-0.08505148,-0.04550208,0.107085764,0.037674297,-0.16815,-0.10348756,0.079724826,-0.024328213,-0.0516812,-0.27431074,0.027134879,0.081243515,0.23644634,-0.01984695,-0.12659836,-0.016480487,0.24556015,-0.017747182,0.039017726,0.036017876,0.0386456,0.14753811,0.114352345,-0.17145199,-0.06547823,0.21073951,-0.03722296,-0.22165352,-0.20742807,0.1049162,-0.03902005,0.18143018,0.15107155,0.056080803,-0.009402437,0.025235225,0.2758976,-0.050913826,-0.22188093,-0.15151168,-0.074892975,0.009870245,-0.06273371,-0.023279537,0.0862038,0.08129507,0.02494013,0.0631437,0.23728614,0.020365499,0.16552085,0.17051296,0.13104466,-0.09464352,0.032503657,0.108361274,0.10468831,-0.017608533,-0.17531987,-0.095433645,0.11122561,-0.008878011,0.15152451
RSM0030,0.28119886,-0.09917937,-0.043263264,0.07599469,0.030506702,-0.14318438,-0.025349688,0.05809659,-0.090637974,-0.021495976,-0.2271284,0.005112644,0.15948395,0.20849407,-0.1104662,-0.16100714,-0.043950703,0.19855428,0.0034711333,0.035337817,-0.01690237,0.03733956,0.10131714,0.11013197,-0.09423226,-0.038661126,0.12614827,0.01813372,-0.3201586,-0.19565807,0.047043953,0.031651802,0.2385077,0.16590595,0.10866302,-0.0049349284,-0.016272305,0.17531674,-0.03696594,-0.19170262,-0.13680845,0.0075547546,-0.025854474,-0.02287282,-0.12997182,0.109855466,0.07578545,0.035310972,-0.009743712,0.18317083,-0.023858799,0.097325,0.20928842,0.14941706,0.0005076236,-0.046924274,0.0968063,0.077439055,-0.073380046,-0.12998737,-0.016339421,0.048122246,0.047964882,0.103436515
RSM0031,0.35409632,-0.07534948,-0.030234529,0.10998057,0.03477398,-0.17903806,-0.095093496,0.05648566,-0.04154702,-0.03430257,-0.2760194,0.044307534,0.06245671,0.24475166,-0.0009958126,-0.100906536,0.022570416,0.2417954,-0.019144539,0.036888998,0.020724265,0.032736268,0.15821016,0.0986881,-0.19793653,-0.07395875,0.20337568,-0.009233405,-0.22299819,-0.2062281,0.111691676,-0.016819961,0.17347752,0.16166897,0.073086716,-0.0029480865,0.015314999,0.28670222,-0.016144587,-0.22587036,-0.1837029,-0.06815316,0.032451436,-0.051420752,-0.024747929,0.076338276,0.08862891,0.026260898,0.05305141,0.24339013,0.02065366,0.17364724,0.1773196,0.11562808,-0.095704556,0.052265175,0.098854475,0.11079976,0.0016596956,-0.19164512,-0.09771469,0.09948939,0.011496847,0.1397911
RSM0033,0.34645852,-0.07094112,-0.04622694,0.09707856,0.018512297,-0.16544415,-0.1160616,0.07683715,-0.012482191,-0.052873872,-0.26879966,0.023490883,0.077741474,0.248187,-0.012668866,-0.10202362,0.0006396119,0.21950252,-0.027325036,0.025456004,0.03548742,0.050880738,0.13952498,0.11878286,-0.17994481,-0.081055015,0.2200306,-0.027760155,-0.23722371,-0.20675035,0.1038387,-0.01764501,0.18425442,0.16917889,0.06626758,-0.019241355,0.016336536,0.26112458,-0.04850597,-0.23639536,-0.15820247,-0.057230372,0.02248934,-0.060556885,-0.03595258,0.082781054,0.09127045,0.021083107,0.05352889,0.24166389,0.019741025,0.1686158,0.1690148,0.124992,-0.09415789,0.040843688,0.08059201,0.12131573,-0.008335681,-0.14815807,-0.08234422,0.103346035,0.014606363,0.14059512
RSM0035,0.340734,-0.07324958,-0.047802933,0.0846988,0.00710136,-0.13552262,-0.07085222,0.04532468,-0.06654957,-0.03306563,-0.25944394,0.0062820762,0.110856354,0.22324204,-0.048789088,-0.13784634,0.009707495,0.22720316,-0.032516863,0.032994654,0.018316446,0.049092807,0.12184701,0.10148272,-0.16683868,-0.06319449,0.19158709,0.010807733,-0.22531866,-0.17937185,0.10947998,-0.008529794,0.2421245,0.1573249,0.09961456,0.02154527,0.025103275,0.23941317,-0.047554307,-0.22544008,-0.18061322,-0.04270011,0.029381642,-0.019414818,-0.05267911,0.086850196,0.08337615,0.007691848,0.04807741,0.1995966,-0.0017993546,0.14222936,0.17483541,0.12716103,-0.052150875,0.0017805018,0.10068352,0.13231218,-0.026374826,-0.15744667,-0.05037048,0.06545369,0.0040838397,0.11443469
RSM0036,0.38012972,-0.049923964,-0.0552592,0.100962944,0.024192585,-0.15385352,-0.09424684,0.061481945,-0.023670169,-0.011626591,-0.2660334,0.043782488,0.06643051,0.25433287,-0.0329563,-0.1428955,0.015671887,0.21937361,-0.05275569,0.033377767,0.02526403,0.05624959,0.14864214,0.10935896,-0.17349896,-0.05510837,0.20043936,-0.007745663,-0.19514112,-0.19974217,0.10608841,-0.030179027,0.22448869,0.15844765,0.07389672,0.019908747,0.025711745,0.26489654,-0.026968382,-0.22135165,-0.17751995,-0.059431117,0.046434764,-0.047140576,-0.029812502,0.05426475,0.076632485,0.012935416,0.08182874,0.21958879,0.033993274,0.15761459,0.18815643,0.12148123,-0.07904665,0.041425884,0.11258237,0.1402741,-0.025052214,-0.1769531,-0.07141341,0.09678725,0.0155174015,0.127019
RSM0037,0.35808814,-0.051809106,-0.049166165,0.108272,0.024424601,-0.17761064,-0.124753654,0.056993622,-0.014760692,-0.022872562,-0.25830948,0.038904533,0.06938567,0.25486878,-0.021667128,-0.12942857,0.0200993,0.2155336,-0.04671967,0.047511738,0.016861355,0.0383849,0.1734795,0.10742951,-0.19928108,-0.067566305,0.21796125,-0.02039794,-0.20129588,-0.18740134,0.12539181,-0.009832691,0.2059431,0.15283842,0.06982878,0.019744743,0.023344627,0.27746603,-0.034656685,-0.24471934,-0.18601458,-0.0663489,0.046103604,-0.032848276,-0.027321136,0.0651754,0.07633571,0.010745452,0.058317307,0.21598557,0.02539247,0.16084771,0.16681291,0.12480891,-0.073408134,0.048523076,0.082282834,0.11555423,0.014094073,-0.16576807,-0.080959566,0.10278547,-0.0067405626,0.1402903
RSM0038,0.32501566,-0.090262234,-0.05594776,0.108386524,0.033223506,-0.15792851,-0.122005425,0.07116726,-0.03291621,-0.048304863,-0.26918963,0.019539967,0.04315013,0.2296794,0.010642064,-0.08724403,-0.008009063,0.24370615,-0.0033113365,0.04107779,0.016122261,0.02563994,0.14311333,0.09672523,-0.17443916,-0.086739965,0.22789457,-0.03963128,-0.25344956,-0.22280325,0.09967979,-0.03796298,0.15057302,0.17009236,0.06283103,-0.049164098,0.022617923,0.2752636,-0.03618673,-0.23964441,-0.16598569,-0.07637224,-0.0040147123,-0.0641168,-0.0046069636,0.067537375,0.088746384,0.042675517,0.0510535,0.24064521,0.037016053,0.1617774,0.15006484,0.132642,-0.1077559,0.06752586,0.07861693,0.083929814,-0.0053050066,-0.14630519,-0.12337413,0.100306965,-0.0064801816,0.14029707
RSM0039,0.34058547,-0.10796948,-0.06274146,0.11603775,0.036238424,-0.15753281,-0.13483842,0.063377805,-0.019209506,-0.042941257,-0.25495648,0.03226475,0.042648256,0.21138638,0.025050659,-0.10759604,-0.018546531,0.2391105,0.01787042,0.04264703,0.026783837,0.01961599,0.15468135,0.11063058,-0.16191249,-0.09513014,0.21809772,-0.042799547,-0.24302234,-0.24093497,0.11258903,-0.04313416,0.16628624,0.17606474,0.067792736,-0.037945315,0.024135895,0.2725727,-0.043786783,-0.23443574,-0.1809262,-0.057212807,0.0018349688,-0.045496244,-0.0193131,0.094763845,0.09131898,0.02386172,0.05384081,0.23700255,0.026200803,0.1393178,0.16588046,0.11361931,-0.10764126,0.077528164,0.09635008,0.0971649,-0.007304704,-0.14402908,-0.12846883,0.1255121,0.011145854,0.14403063
RSM0040,0.30488598,-0.0924474,0.12574139,0.041028406,0.14736366,-0.13079262,0.094515905,0.14414974,0.012298972,0.05105838,-0.20790046,0.09542905,0.018882794,0.19948684,-0.105390824,-0.11851078,-0.08439352,0.29247323,-0.03882917,-0.08787568,0.10868418,0.045997296,0.13097009,-0.07446748,-0.07446219,-0.09496529,0.053564012,-0.038410086,-0.20951127,-0.13075255,0.18399397,0.0676987,0.08727316,0.16033117,-0.021275716,-0.056647897,-0.011573841,0.28160343,-0.031094603,-0.034679044,-0.2542922,0.035261024,-0.105148055,-0.09508064,-0.13649154,0.02128456,0.04507201,0.04694727,0.015391073,0.17530926,0.0032757525,0.10094979,0.25970298,0.15429892,0.12042628,0.09684742,0.08931945,0.0967558,-0.13799173,-0.13947979,0.005399065,-0.14391378,-0.020580845,0.17673422
