type,CellV [A^3],Di,Df,Dif,density [g/cm^3],total_SA_volumetric,total_SA_gravimetric,total_POV_volumetric,total_POV_gravimetric,H fraction,He fraction,Li fraction,Be fraction,B fraction,C fraction,N fraction,O fraction,F fraction,Ne fraction,Na fraction,Mg fraction,Al fraction,Si fraction,P fraction,S fraction,Cl fraction,Ar fraction,K fraction,Ca fraction,Sc fraction,Ti fraction,V fraction,Cr fraction,Mn fraction,Fe fraction,Co fraction,Ni fraction,Cu fraction,Zn fraction,Ga fraction,Ge fraction,As fraction,Se fraction,Br fraction,Kr fraction,Rb fraction,Sr fraction,Y fraction,Zr fraction,Nb fraction,Mo fraction,Tc fraction,Ru fraction,Rh fraction,Pd fraction,Ag fraction,Cd fraction,In fraction,Sn fraction,Sb fraction,Te fraction,I fraction,Xe fraction,Cs fraction,Ba fraction,La fraction,Ce fraction,Pr fraction,Nd fraction,Pm fraction,Sm fraction,Eu fraction,Gd fraction,Tb fraction,Dy fraction,Ho fraction,Er fraction,Tm fraction,Yb fraction,Lu fraction,Hf fraction,Ta fraction,W fraction,Re fraction,Os fraction,Ir fraction,Pt fraction,Au fraction,Hg fraction,Tl fraction,Pb fraction,Bi fraction,Po fraction,At fraction,Rn fraction,Fr fraction,Ra fraction,Ac fraction,Th fraction,Pa fraction,U fraction,Np fraction,Pu fraction,Am fraction,Cm fraction,Bk fraction,Cf fraction,Es fraction,Fm fraction,Md fraction,No fraction,Lr fraction,mean AtomicWeight,mean Column,mean Row,range Number,mean Number,range AtomicRadius,mean AtomicRadius,range Electronegativity,mean Electronegativity,avg s valence electrons,avg p valence electrons,avg d valence electrons,avg f valence electrons,frac s valence electrons,frac p valence electrons,frac d valence electrons,frac f valence electrons
RSM3170,3191.38,6.86398,6.10482,6.86398,1.21871,970.915,796.6743524,0.30202,0.247819,0.4262295081967213,0.0,0.0,0.0,0.0,0.3770491803278688,0.0327868852459016,0.1311475409836065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0327868852459016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.599231803278688,8.655737704918034,1.639344262295082,28.0,4.918032786885246,1.1,0.5147540983606557,1.54,2.512295081967213,1.540983606557377,1.3770491803278688,0.3278688524590163,0.0,0.4747474747474747,0.4242424242424242,0.101010101010101,0.0
RSM1972,2226.95,4.47083,3.0099,4.47083,1.59028,247.133,155.4021933,0.16342,0.102762,0.2105263157894736,0.0,0.0,0.0,0.0,0.4736842105263157,0.0789473684210526,0.2105263157894736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0263157894736842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.030970789473686,11.473684210526317,1.894736842105263,56.0,6.789473684210527,1.7,0.6131578947368421,2.34,2.6642105263157894,1.7894736842105263,2.026315789473684,0.0263157894736842,0.0,0.4657534246575343,0.5273972602739726,0.0068493150684931,0.0
RSM1960,2087.56,3.96462,2.41854,3.93898,1.78668,26.1134,14.61559988,0.03656,0.0204625,0.2105263157894736,0.0,0.0,0.0,0.0,0.4736842105263157,0.0789473684210526,0.2105263157894736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0263157894736842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.777116315789476,11.473684210526317,1.894736842105263,67.0,7.078947368421052,1.5,0.6078947368421053,2.2,2.667894736842105,1.7894736842105263,2.026315789473684,0.0,0.3157894736842105,0.4331210191082802,0.4904458598726114,0.0,0.0764331210191082
RSM2130,3779.19,8.25776,7.03071,8.25776,1.10094,1769.18,1606.972224,0.54002,0.490508,0.15,0.0,0.0,0.0,0.0,0.45,0.0,0.325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.659311,12.55,2.0,29.0,7.7,1.1,0.6487499999999999,1.79,2.71925,1.85,2.2,0.75,0.0,0.3854166666666667,0.4583333333333333,0.15625,0.0
RSM2366,2660.54,5.20085,3.89327,4.84433,1.15458,942.065,815.9373971,0.34602,0.299694,0.4137931034482758,0.0,0.0,0.0,0.0,0.367816091954023,0.1379310344827586,0.0459770114942528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0229885057471264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0114942528735632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.631324597701152,8.89655172413793,1.6666666666666667,47.0,5.310344827586207,1.3,0.5224137931034483,1.75,2.5132183908045973,1.5862068965517242,1.4482758620689655,0.3448275862068966,0.0,0.4693877551020408,0.4285714285714285,0.1020408163265306,0.0
RSM4301,5939.98,4.00255,2.78217,3.89811,1.45481,10.4834,7.206026904,0.01062,0.00729991,0.3454545454545454,0.0,0.0,0.0,0.0,0.4727272727272727,0.0909090909090909,0.0727272727272727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0181818181818181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.461785545454545,9.61818181818182,1.690909090909091,24.0,4.854545454545455,1.15,0.5454545454545454,1.89,2.520181818181818,1.6545454545454543,1.509090909090909,0.0909090909090909,0.0,0.5083798882681565,0.4636871508379888,0.0279329608938547,0.0
RSM1069,1527.86,4.91034,3.57647,4.78103,1.04949,502.151,478.471448,0.28922,0.275582,0.3725490196078431,0.0,0.0,0.0,0.0,0.4313725490196078,0.0980392156862745,0.0784313725490196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0196078431372549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.466614901960783,9.372549019607844,1.6666666666666667,29.0,4.862745098039215,1.1,0.5323529411764706,1.79,2.519803921568627,1.6274509803921569,1.4705882352941178,0.196078431372549,0.0,0.494047619047619,0.4464285714285715,0.0595238095238095,0.0
RSM2798,6787.7,7.92311,7.02117,7.40406,1.04215,1323.15,1269.634889,0.40304,0.386739,0.3495145631067961,0.0,0.0,0.0,0.0,0.4271844660194174,0.0776699029126213,0.116504854368932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029126213592233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.339252815533982,9.70873786407767,1.7087378640776698,29.0,5.262135922330097,1.1,0.5461165048543689,1.79,2.5432038834951456,1.6504854368932038,1.5533980582524272,0.2912621359223301,0.0,0.4722222222222222,0.4444444444444445,0.0833333333333333,0.0
RSM3200,3292.77,4.50507,4.05314,4.50325,1.57483,307.16,195.0432745,0.1489,0.0945497,0.2903225806451613,0.0,0.0,0.0,0.0,0.4516129032258064,0.1612903225806451,0.032258064516129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.064516129032258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.591811612903223,10.258064516129032,1.8387096774193548,28.0,6.258064516129032,1.1,0.6000000000000001,1.54,2.5141935483870967,1.6451612903225807,1.5161290322580645,0.6451612903225806,0.0,0.4322033898305085,0.3983050847457627,0.1694915254237288,0.0
RSM1590,2426.68,4.92906,3.897,4.88525,1.27844,1193.32,933.4188542,0.39564,0.309471,0.2424242424242424,0.0,0.0,0.0,0.0,0.303030303030303,0.2424242424242424,0.1212121212121212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0303030303030303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0606060606060606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.152930909090909,11.272727272727272,1.9090909090909087,29.0,7.03030303030303,1.1,0.6151515151515151,1.79,2.638181818181818,1.7575757575757576,1.9393939393939397,0.6060606060606061,0.0,0.4084507042253521,0.4507042253521127,0.1408450704225352,0.0
