type,CellV [A^3],Di,Df,Dif,density [g/cm^3],total_SA_volumetric,total_SA_gravimetric,total_POV_volumetric,total_POV_gravimetric
RSM1335,4772.24,6.36295,4.2806,6.36272,1.20693,1519.31,1258.82197,0.48132,0.398798
RSM1145,4037.82,12.05622,6.74493,12.05603,0.618537,2209.5,3572.138773,0.74934,1.21147
RSM2469,7494.73,8.19723,7.01697,8.18474,1.37403,1470.11,1069.925693,0.48766,0.354913
RSM1074,1171.63,4.71712,3.63905,4.71712,1.54053,288.249,187.1102802,0.15642,0.101536
RSM2563,2525.26,5.34449,3.90767,5.34449,1.19766,727.621,607.5355276,0.23686,0.197769
RSM4552,21072.0,13.29616,4.97277,13.29616,0.983012,1506.26,1532.290552,0.52518,0.534256
RSM1814,1855.85,5.32382,4.69426,5.32382,1.65668,510.8,308.3274984,0.1914,0.115532
RSM1852,1813.6,5.18677,4.51055,5.17631,1.52314,479.606,314.8797878,0.18922,0.12423
RSM3270,6782.56,10.24604,5.19927,10.22887,0.774705,2201.89,2842.230268,0.65188,0.841456
RSM0158,953.707,5.38373,3.98212,5.36788,1.15006,1175.61,1022.216232,0.46786,0.406814
RSM0143,698.42,4.49041,2.53181,4.48098,2.00933,182.134,90.64414506,0.14488,0.0721035
RSM0044,930.119,5.36278,4.15643,5.36278,1.09674,1725.58,1573.371993,0.5655,0.515617
RSM0016,623.565,3.76101,3.0537,3.76101,1.78918,2.45527,1.372287864,0.0,0.0
RSM4207,38461.5,18.51843,7.97271,18.51843,0.531149,2122.98,3996.957539,0.76324,1.43696
RSM4204,37929.0,18.77734,7.81499,18.77734,0.539574,2140.86,3967.685619,0.75854,1.40581
RSM4206,38558.6,18.83938,7.96401,18.83938,0.527426,2123.92,4026.953544,0.7635,1.4476
RSM3622,4256.68,5.19955,3.2085,5.19438,1.20736,481.233,398.5828585,0.1995,0.165236
RSM2931,2672.96,5.75252,3.69157,5.65377,1.18631,316.673,266.9395015,0.1225,0.103261
RSM1977,7917.67,3.98698,2.54284,3.97868,1.8507,36.0207,19.46328416,0.02218,0.0119846
RSM2850,3081.84,7.29081,6.46944,7.28567,1.08372,1012.89,934.6417894,0.32482,0.299726
RSM3114,2862.5,3.81372,2.87742,3.81309,1.78039,2.58451,1.451653851,0.0,0.0
RSM2132,2075.35,5.08726,4.83873,5.06957,1.27292,759.071,596.3226283,0.23648,0.185778
RSM2979,4570.42,7.43512,5.15007,7.43277,0.84804,1905.89,2247.405783,0.54362,0.641031
RSM0761,2791.93,16.84369,16.76415,16.84369,0.692416,1312.32,1895.276828,0.71676,1.03516
RSM0858,2553.56,5.9367,4.07723,5.9367,0.815854,899.351,1102.343066,0.31638,0.38779
RSM3784,16318.3,8.14469,5.93207,8.14469,0.901348,2059.58,2284.9998,0.5476,0.607535
RSM4539,17526.5,8.55642,5.36069,8.35991,0.706783,1707.2179,2415.476745,0.49872,0.7056195
RSM2128,5123.06,5.48812,3.7418,5.48733,1.43983,691.745,480.4351903,0.24256,0.168465
RSM3303,4819.5,9.00352,4.63709,9.00305,0.93614,1382.205,1476.4939,0.45962,0.4909738
RSM4241,12516.9,11.35798,8.5918,11.35555,0.674777,1758.366477,2605.848268,0.59242,0.877949
RSM0280,1287.49,6.97366,6.05295,6.96579,1.20561,1310.08,1086.653229,0.44638,0.370253
RSM1962,1876.95,3.79529,2.59701,3.78144,1.76237,1.51487,0.85956411,0.0,0.0
RSM1128,1479.08,4.13872,3.05951,4.13872,1.62151,32.7533,20.19925872,0.05738,0.0353868
