type,CellV [A^3],Di,Df,Dif,density [g/cm^3],total_SA_volumetric,total_SA_gravimetric,total_POV_volumetric,total_POV_gravimetric
RSM4199,7015.75,4.64455,3.59836,4.63854,1.95569,162.419,83.0494608,0.1034,0.0528714
RSM1916,2981.48,5.5254,4.43575,5.51234,1.26722,1371.71,1082.456085,0.417,0.329066
RSM0206,872.754,4.27979,3.23619,4.27979,1.25034,333.507,266.7330486,0.21946,0.17552
RSM0455,2200.45,4.37729,3.47803,4.37729,1.252,435.952,348.2044728,0.27862,0.22254
RSM1668,2304.16,6.23291,3.01018,6.22587,1.32779,896.667,675.3078424,0.33104,0.249316
RSM4119,5656.25,4.9916,3.2968,4.42967,1.46036,143.047,97.95324441,0.09924,0.0679559
RSM4197,6968.17,4.62064,3.5641,4.61051,1.96241,149.894,76.38261118,0.09756,0.0497145
RSM1825,3845.85,4.95925,3.73408,4.95925,1.25635,470.017,374.1131054,0.21472,0.170907
RSM1804,3826.11,4.92905,3.74227,4.92865,1.262,458.001,362.9167987,0.21092,0.167131
RSM4372,8090.91,6.3407,5.902,6.31652,1.20352,723.707,601.3252792,0.20556,0.170799
RSM1075,2086.13,6.19077,5.31352,6.18884,0.976178,1588.07,1626.824206,0.5096,0.522036
RSM1220,4070.64,9.30216,6.24705,9.30149,0.741977,2359.68,3180.260305,0.69306,0.934072
RSM4010,10851.6,11.11495,8.75374,11.11495,0.70291,1790.69,2547.538092,0.61744,0.878406
RSM4037,5154.14,4.80212,3.01348,4.80212,1.27276,294.718,231.5581885,0.12532,0.0984633
RSM2048,2767.39,9.77811,8.65058,9.77811,1.43585,1054.2578,734.2395097,0.39806,0.2772305
RSM2772,3498.5,10.3381,9.26479,10.3381,1.24231,1081.8236,870.8161409,0.42414,0.3414113
RSM2795,2303.76,4.5467,2.88798,4.45304,1.42239,152.259,107.0444815,0.09452,0.0664516
RSM4189,6143.46,4.5937,3.17784,4.5937,1.32844,60.1906,45.30923489,0.05158,0.0388275
RSM3075,3750.49,5.14274,3.67598,5.1312,1.34119,691.776,515.7926916,0.27808,0.207339
RSM1650,1800.37,4.44531,2.95777,4.42331,1.53443,193.577,126.1556409,0.12136,0.0790912
RSM1615,2108.78,7.83796,6.35433,7.79579,1.04646,1113.9787,1064.521052,0.38822,0.3709855
RSM1640,2074.7,7.85489,6.36686,7.85489,1.08455,1088.3991,1003.54903,0.36576,0.3372463
RSM1627,2068.88,7.99474,6.54413,7.99474,1.10841,1039.27661,937.6283235,0.34384,0.31021
RSM0317,1629.75,5.05909,2.62052,5.05909,1.27228,215.485,169.369164,0.1675,0.131653
RSM3486,6497.43,14.72034,13.81107,14.72034,1.23894,1051.8,848.9515231,0.46962,0.379051
RSM1203,2500.22,5.74617,4.59937,5.73998,1.07923,1691.13,1566.978309,0.47458,0.439741
RSM3709,5020.83,5.61851,4.19073,5.60379,1.41892,677.8772,477.7416627,0.24578,0.1732159
RSM3722,5088.12,5.58633,4.32231,5.37322,1.41396,750.7351,530.9450762,0.25738,0.182028
RSM3718,5372.69,6.2708,4.86549,6.2708,1.34321,977.829,727.9792438,0.30824,0.229481
RSM0724,1687.52,5.85201,4.46067,5.83515,1.35895,828.584,609.7236837,0.2779,0.204496
RSM3117,3954.85,5.01507,3.95686,5.01507,1.39517,516.681,370.3355147,0.20044,0.143668
RSM2313,5094.52,4.87594,3.54867,4.87536,1.55224,189.308,121.9579446,0.11354,0.0731458
RSM4409,10278.1,8.61002,3.76636,8.58351,1.65942,939.802,566.3436622,0.31944,0.192501
RSM0118,1663.28,5.49362,5.42758,5.49362,1.41847,1010.53,712.4084401,0.35278,0.248704
RSM4310,8335.79,6.27462,2.74494,6.27462,1.7747,579.744,326.6715501,0.24808,0.139787
RSM4302,8643.27,6.44721,2.6928,6.44721,1.72857,634.539,367.0889811,0.25712,0.148747
RSM2919,4959.46,11.32844,10.26466,11.32844,0.790589,1537.14,1944.297226,0.55772,0.705449
RSM2144,2810.66,4.81422,4.24964,4.81422,1.04625,882.553,843.539307,0.33018,0.3155828
RSM0620,3810.34,5.59171,4.33137,5.56182,0.953551,2306.11,2418.44432,0.5667,0.594305
RSM1175,1392.92,4.29138,3.47068,4.23523,1.58197,261.154,165.0815123,0.15228,0.0962599
RSM0788,1884.47,4.71954,3.57694,4.71245,1.57661,457.166,289.9677155,0.2773,0.175884
RSM0136,1188.64,4.92775,3.91462,4.90973,1.78273,905.382,507.8626601,0.3616,0.202835
RSM0391,1253.93,6.11102,5.03298,6.08461,1.15501,1109.74,960.8055342,0.3831,0.331686
RSM3615,9579.32,15.95836,6.79866,15.95836,0.49512,2080.7817,4202.580587,0.72172,1.4576616
RSM2928,2667.01,4.96921,2.85009,4.89676,1.60709,105.293,65.51779925,0.06998,0.0435444
RSM2109,2983.34,6.41579,6.06601,6.40923,1.24433,1147.59,922.2553503,0.37234,0.299229
RSM2834,3011.98,4.21583,2.9953,4.21411,1.6978,141.025,83.06337613,0.12384,0.0729415
RSM2771,3104.44,4.73309,3.92758,4.72518,1.16625,421.46,361.380493,0.22698,0.1946237
RSM3713,5830.73,7.20791,6.51318,7.17561,0.94264,1359.54,1442.268522,0.45032,0.477722
RSM4422,17873.1,9.30669,8.11233,9.28954,0.819886,2090.67,2549.952067,0.6291,0.767302
RSM0917,3122.07,8.54706,6.43178,8.54706,0.665022,2644.15,3976.033876,0.71588,1.07648
RSM2355,15754.6,11.92108,6.99954,11.92108,0.79488,1952.94,2456.899155,0.6648,0.836353
RSM4219,7020.42,6.17335,5.62341,6.16091,1.2809,863.417,674.0705754,0.25862,0.201905
RSM2203,1867.12,3.98841,3.39668,3.98841,1.31578,37.8918,28.79797535,0.05154,0.0391706
RSM2494,2432.0,4.83353,3.26666,4.7875,1.16461,281.069,241.3417367,0.15648,0.134363
RSM3931,18396.7,10.60263,4.61939,9.05769,0.666978,2022.33,3032.079019,0.58358,0.874961
RSM1332,1545.47,4.3307,2.74492,4.3307,1.49405,67.8595,45.419832,0.06928,0.0463706
RSM3987,9301.6,15.02274,4.23694,15.02053,0.819731,1615.69,1971.000243,0.54926,0.670049
RSM4507,27705.6,18.88525,7.91531,18.88525,0.52911,1939.92,3666.383172,0.72746,1.37488
RSM3833,8796.55,10.46531,7.24738,10.06993,0.692819,1977.87,2854.814894,0.62762,0.905894
RSM0062,1410.81,6.99879,6.49457,6.99879,0.979768,1380.0,1408.496705,0.4526,0.461946
RSM1657,2466.97,6.32569,5.26533,6.09075,1.27587,1360.26,1066.143102,0.43452,0.340567
RSM2653,2672.88,5.39661,3.78553,5.39661,1.22212,626.225,512.4087651,0.25014,0.204678
RSM2629,2289.82,4.17403,3.2613,3.775,1.85127,38.8462,20.98354103,0.04312,0.0232921
RSM4523,11921.7,5.92737,4.9743,5.92737,1.01088,710.827,703.1764403,0.225,0.2225787
RSM0190,830.874,4.7957,2.85788,4.7957,1.59139,413.215,259.6566524,0.21432,0.134674
RSM2496,2739.99,4.61914,3.16246,4.58392,2.29961,107.905,46.92317393,0.05336,0.023204
RSM2506,2727.33,4.63449,3.13874,4.62939,2.32723,108.047,46.42729769,0.05746,0.0246903
RSM1511,2477.4,5.5219,5.04903,5.5219,0.826455,1258.65,1522.950433,0.47904,0.579633
RSM1357,1968.85,6.73931,4.78997,6.67269,1.07497,1280.87,1191.540229,0.38946,0.362297
RSM1586,1927.97,4.85962,3.90561,4.85655,1.68872,497.713,294.7279596,0.23618,0.139857
RSM1576,1914.45,4.84334,3.88578,4.83342,1.72479,484.53,280.9211556,0.23486,0.136167
RSM3651,8474.66,10.71326,6.70339,10.52268,0.819904,1914.3248,2334.815783,0.63622,0.7759687
RSM4405,18944.1,11.11094,5.77138,11.07598,0.73357,2126.77,2899.205256,0.6816,0.929154
RSM4408,17853.0,11.03891,6.32706,11.01434,0.80868,2046.77,2531.001138,0.64166,0.793466
RSM4419,19242.7,11.74533,5.64839,11.71293,0.778372,2143.74,2754.132985,0.6709,0.861927
RSM2007,1700.12,4.25232,2.63699,4.12124,1.47761,109.099,73.83477372,0.12834,0.0868565
RSM3276,3171.43,4.38076,2.86814,4.3791,1.34031,220.242,164.3216868,0.11348,0.0846673
RSM2884,2986.16,7.34891,5.7859,7.21721,1.50223,448.017,298.2346245,0.14748,0.0981738
RSM2825,2954.06,7.47105,5.83636,7.39991,1.52317,521.479,342.3642798,0.17544,0.115181
RSM2882,2948.05,7.34523,5.77431,7.33779,1.55847,450.223,288.8878195,0.14956,0.0959656
RSM2822,2936.0,7.45595,5.7787,7.37267,1.54828,519.522,335.5478337,0.1749,0.112964
RSM2829,2871.37,7.45284,5.80961,7.45257,1.59702,519.589,325.3490877,0.17422,0.10909
RSM0461,1009.92,4.87361,4.61034,4.87361,1.39877,892.498,638.059152,0.3277,0.234277
RSM2225,2816.39,8.30134,7.08669,8.30134,1.3689,908.469,663.6489152,0.30414,0.222178
RSM0137,916.559,4.73547,2.66625,4.73547,1.65215,270.649,163.8162394,0.19518,0.118137
RSM4032,13112.0,6.92785,5.95944,6.79753,0.95198,1408.43,1479.474359,0.40342,0.423769
RSM0765,1358.85,5.11675,3.17335,5.09396,1.95395,388.813,198.9882034,0.20832,0.106615
RSM1961,2839.32,4.35688,3.26851,4.35534,1.22608,298.339,243.3275153,0.24714,0.20157
RSM2215,3080.97,8.732,7.51715,8.732,1.34422,970.131,721.7055244,0.3244,0.241329
RSM1775,1985.59,5.41352,3.48109,5.41227,1.38051,435.342,315.3486755,0.18528,0.134212
RSM0097,1664.63,4.94352,3.57815,4.9376,1.23221,520.76,422.6227672,0.27402,0.222382
RSM0039,1053.56,3.98867,2.7966,3.95663,2.13719,50.7134,23.72900865,0.13986,0.0654412
RSM0033,1055.74,3.98984,2.78525,3.98984,2.12222,44.2733,20.86178624,0.12894,0.0607571
RSM0038,1074.84,4.01875,2.84869,3.98531,2.05184,61.1896,29.82181847,0.1342,0.0654047
RSM0037,1038.44,3.9617,2.78489,3.95919,1.72043,43.2678,25.14941032,0.11518,0.0669483
RSM3887,8702.12,9.73279,7.22908,9.72647,0.781161,1976.38,2530.054624,0.61352,0.785395
RSM3501,13666.2,10.21317,6.80397,9.6529,0.728441,1900.74,2609.325944,0.60674,0.83293
RSM4143,19207.3,14.24395,11.55698,14.2332,0.475086,1722.89,3626.480258,0.78004,1.64189
RSM1913,2273.31,4.40563,4.06842,4.39346,1.59545,313.2314,196.3279326,0.2015,0.1262966
RSM1289,2021.63,5.04706,4.025,5.04249,1.31109,822.219,627.1262842,0.34142,0.260409
RSM1544,5377.53,4.81584,3.50149,4.77898,1.10493,278.413,251.9734282,0.23026,0.208394
RSM4285,8860.75,8.09669,7.0815,8.09669,0.92351,1187.833,1286.215634,0.37552,0.4066224
RSM0373,1000.27,5.3857,3.74409,5.37745,1.51731,784.631,517.1197712,0.30776,0.202832
RSM3894,7038.71,6.21484,4.39834,6.20863,1.03298,1297.3898,1255.967976,0.3903,0.3778374
RSM0649,1478.03,5.94278,4.37421,5.9419,2.24053,1263.44,563.902291,0.3883,0.173307
RSM3423,19178.1,7.1828,5.28792,5.5333,1.16005,1204.36,1038.196629,0.36946,0.318485
RSM3823,4755.6,5.53507,3.32928,5.50031,1.37556,494.729,359.6564308,0.19104,0.138881
RSM1859,3421.5,9.09166,6.13483,9.09166,0.794129,2203.02,2774.133673,0.6262,0.788536
RSM0228,1254.36,11.388,10.51295,11.388,1.29023,1447.57,1121.94725,0.57666,0.446942
RSM1806,2799.42,6.09672,4.22892,6.07576,0.908366,1525.91,1679.840505,0.45902,0.505325
RSM0180,640.833,5.41673,2.42544,5.41665,1.96997,464.8,235.9426793,0.25116,0.127494
RSM0189,665.076,5.46972,2.57467,5.46972,1.83295,515.947,281.4844922,0.26142,0.142622
RSM1427,2494.5,5.74395,5.29156,5.74395,1.06237,1956.68,1841.806527,0.52538,0.494534
RSM3535,5034.01,6.08333,5.37096,6.07626,1.04043,1121.0,1077.439136,0.36838,0.354066
RSM1009,1180.6,4.42221,3.69918,4.41972,1.50844,259.831,172.2514651,0.17386,0.115258
RSM0861,1498.49,5.52662,3.30183,5.46703,1.50752,637.243,422.7094831,0.25294,0.167785
RSM1542,1753.65,5.0308,3.32117,4.92659,1.64875,503.355,305.2949204,0.23244,0.14098
RSM0850,1523.63,5.99818,3.55745,5.99789,1.43122,732.189,511.5838236,0.28724,0.200696
RSM1695,1595.84,5.9844,3.16514,5.9844,2.01452,342.551,170.0410023,0.14198,0.0704783
RSM1099,1704.44,4.03906,2.71579,4.03832,1.90032,123.479,64.9780037,0.1125,0.0592004
RSM1333,1268.99,4.33773,3.41599,4.33773,1.49576,171.816,114.8686955,0.12462,0.0833155
RSM3604,3649.28,4.85776,4.01614,4.85192,1.45202,184.519,127.0774507,0.09094,0.0626302
RSM3607,3733.18,4.76467,4.03549,4.67568,1.44804,208.862,144.2377282,0.09104,0.0628713
RSM0607,1305.39,5.57953,3.21211,5.34183,1.90493,552.732,290.1586935,0.27658,0.145192
RSM2706,2942.95,7.82099,6.43142,7.82099,1.16534,880.439,755.5211355,0.3293,0.2825775
RSM4455,10378.1,5.22326,2.87418,5.20533,1.12621,671.709,596.4331697,0.22712,0.201668
RSM3816,6020.82,5.45253,3.7803,5.34777,1.25131,1110.37,887.3660404,0.36908,0.294955
RSM4484,22277.8,9.92256,5.8874,9.91786,0.624717,2304.52,3688.902335,0.66368,1.06237
RSM2873,2511.17,5.48028,4.03658,5.4705,1.20981,312.105,257.9785256,0.13738,0.113555
RSM3581,8179.71,5.05516,3.23478,5.05516,1.35024,385.177,285.2655824,0.15426,0.114246
RSM2060,2333.07,4.86457,3.56395,4.64534,1.44616,457.772,316.5431211,0.24404,0.16875
RSM0860,4018.12,7.74164,5.799,7.74164,1.37569,935.486,680.0122121,0.30138,0.219076
RSM0643,2090.36,7.54466,5.76979,7.52984,0.764767,2676.95,3500.347165,0.6822,0.892036
RSM2261,2234.72,5.11803,3.57569,5.1143,1.5953,192.916,120.9277252,0.1013,0.0634991
RSM1324,2441.96,5.63894,4.87372,5.6352,0.95923,1901.86,1982.694453,0.5553,0.578902
RSM2267,2376.73,4.8731,2.41312,4.8731,1.75263,351.325,200.4558863,0.15274,0.0871488
RSM1868,1915.49,4.07173,2.59845,4.07173,2.20673,10.6963,4.847126744,0.0165,0.00747712
RSM0478,1058.18,4.75181,3.17058,4.75181,1.4613,281.769,192.820776,0.18646,0.127598
RSM3630,8861.22,12.04583,5.92239,11.92324,0.785656,2106.78,2681.555286,0.6668,0.848718
RSM4400,33569.7,12.27463,5.80964,12.27345,0.829543,1971.59,2376.718265,0.60058,0.723989
RSM3632,8650.68,12.3325,5.92345,11.43456,0.799114,2051.89,2567.706235,0.65664,0.82171
RSM4403,33683.8,12.52097,5.76234,12.03765,0.820913,1997.56,2433.339465,0.61488,0.74902
RSM3140,3687.81,9.13832,7.15944,9.13721,1.55974,784.656,503.0684601,0.26966,0.172888
RSM0525,1326.62,4.07203,3.36745,4.05688,1.60485,109.041,67.94466773,0.13054,0.081341
RSM1625,1626.11,5.08961,2.68275,5.0839,1.34893,526.325,390.1796239,0.20174,0.149556
RSM2009,1830.67,3.89191,3.15385,3.7643,1.22752,24.2533,19.75796728,0.01486,0.0121057
RSM1085,1794.39,4.10645,3.09037,4.10645,1.77365,42.5106,23.96786288,0.0725,0.0408762
RSM0178,877.709,5.06349,3.71152,5.06349,1.47923,654.225,442.2740209,0.33782,0.228376
RSM0150,969.051,4.74799,3.07899,4.74374,1.49035,519.722,348.7247962,0.25918,0.173905
RSM2965,3804.08,8.48774,6.12459,8.47169,0.953346,1409.17,1478.13071,0.42302,0.443721
RSM3655,8349.85,10.27954,6.68603,10.27954,0.811613,1925.0562,2371.889312,0.63378,0.7808891
RSM0576,1373.92,6.86556,5.42795,6.77124,1.72448,1170.03,678.482789,0.3651,0.211716
RSM2370,3844.03,9.10759,5.82003,9.09622,0.79426,1888.32,2377.458263,0.57234,0.720595
RSM3838,7588.83,9.31132,6.13762,9.08275,0.805528,1837.15,2280.678015,0.55334,0.686928
RSM2373,3748.6,8.78773,6.19333,8.65663,0.743413,1908.09,2566.662138,0.56344,0.75791
RSM2349,3880.81,9.35403,6.16685,9.35403,0.696817,1877.8,2694.825184,0.57434,0.824233
RSM2368,3660.19,8.73316,6.23369,8.71341,0.740492,1907.58,2576.098054,0.55886,0.754715
RSM2616,6710.64,5.93429,4.20385,5.92394,1.95218,1452.6,744.0912211,0.36356,0.186233
RSM1309,1745.69,6.31025,2.99476,6.30344,1.18923,758.526,637.8295199,0.30728,0.258386
RSM2569,5432.64,5.90641,4.49569,5.8829,1.1598,699.887,603.454906,0.22602,0.194878
RSM2906,4052.9,10.60893,7.2431,10.60893,1.18823,871.81462,733.7086423,0.31108,0.26180114
RSM3073,4725.1,6.46856,4.61872,6.46856,1.24305,1609.35,1294.678412,0.46,0.370058
RSM3368,5223.02,6.46377,5.36376,6.20996,1.13461,1713.76,1510.439711,0.47186,0.415877
RSM0697,1281.05,4.26653,2.96961,4.26653,1.38794,249.822,179.9948125,0.16584,0.119486
RSM0681,1314.28,4.15649,2.86447,4.15649,1.32832,179.961,135.4801554,0.14064,0.105878
RSM2478,2552.86,5.02813,3.93675,5.02813,1.19627,481.945,402.8730972,0.22248,0.1859786
RSM0419,2434.47,4.46675,3.68033,4.46675,1.46572,550.214,375.3882051,0.29776,0.203149
RSM1965,7128.55,14.83913,13.174,14.83913,0.366991,1891.37,5153.723116,0.82826,2.2569
RSM4367,31790.8,23.72832,19.63801,23.72832,0.329166,1693.97,5146.248397,0.83912,2.54923
RSM0580,846.273,5.91185,4.82034,5.90988,1.88819,519.409,275.083016,0.18154,0.096145
RSM4384,8642.01,5.57315,2.64485,5.55209,1.75235,532.862,304.0842297,0.22398,0.127817
RSM4356,8593.71,6.41175,2.87682,6.41175,2.11598,487.41,230.3471677,0.21558,0.101882
RSM4444,8886.46,5.19312,2.42079,5.19224,2.15399,390.609,181.3420675,0.15892,0.0737793
RSM0096,2051.2,5.48557,4.55432,5.48442,1.58071,2070.74,1310.006263,0.54778,0.346541
RSM2640,5840.47,8.5954,7.40656,8.5954,0.71813,2199.77,3063.191901,0.64972,0.904738
RSM3502,13227.7,12.36916,10.86748,12.33885,0.374438,1925.24,5141.678996,0.81238,2.1696
RSM3128,12821.8,14.31673,13.37952,14.23422,0.356183,1661.74,4665.410758,0.83432,2.34239
RSM3771,20791.6,17.29514,15.33221,17.29514,0.284265,1486.0,5227.516578,0.85918,3.02246
RSM3992,38659.6,23.03533,21.60719,23.02579,0.170429,1061.46,6228.165394,0.9123,5.35296
RSM2110,3528.22,8.58247,7.41664,8.57789,0.88698,1771.47,1997.192721,0.54896,0.618909
RSM2196,4875.71,7.98338,7.19596,7.98212,0.722195,2470.1,3420.267379,0.6899,0.955282
RSM2367,2903.46,6.07415,4.27878,5.44099,0.965162,1109.254,1149.293072,0.40536,0.4199915
RSM4513,14543.1,12.06174,7.75873,12.06174,0.881143,1305.27,1481.337308,0.44332,0.503119
RSM4564,14468.7,8.8329,3.77071,4.46909,1.00158,990.0882,988.5263284,0.30278,0.3023026
RSM4467,28731.7,12.23219,8.02039,12.23219,0.853098,1377.03,1614.152184,0.45838,0.537312
RSM4514,28948.4,12.14685,7.7394,12.14685,0.885336,1326.63,1498.448047,0.43348,0.489622
RSM4488,28638.1,12.08969,7.27048,11.78932,0.880979,1349.49,1531.807228,0.43518,0.493973
RSM4491,14296.4,12.09861,7.46549,12.09861,0.882372,1332.760598,1510.429385,0.45402,0.514545
RSM4512,14357.9,12.14021,7.5095,12.14021,0.892504,1314.42,1472.732895,0.4459,0.499606
RSM4565,28939.7,8.90504,3.86123,4.56441,1.0015,990.006,988.5232152,0.2694,0.2689968
RSM4566,14511.7,8.8251,3.77258,4.48452,0.998614,990.149,991.5232512,0.29772,0.2981331
RSM2210,10189.6,11.1437,9.04409,11.1437,0.650684,2132.68,3277.597113,0.68102,1.04662
RSM4563,14240.8,8.28708,3.55494,4.42564,1.01761,942.645,926.3322884,0.27674,0.27195
RSM1556,3453.01,3.9215,2.68472,3.9215,1.72432,8.19501,4.752603925,0.02412,0.0139881
RSM2146,7444.17,18.68299,9.17237,18.68299,0.551216,1794.39,3255.330034,0.78414,1.42256
RSM3735,13384.4,8.47788,6.65907,8.47788,0.938367,1496.58,1594.877058,0.4624,0.492771
RSM2693,5076.5,9.0593,7.3957,8.92663,0.731602,2022.97,2765.12366,0.60418,0.825832
RSM1704,3708.78,4.31985,2.75013,4.31985,1.53003,110.553,72.25544597,0.12812,0.083737
RSM0299,1239.5,6.91782,5.66055,6.91782,1.1601,1391.0,1199.034566,0.39962,0.344471
RSM3625,9423.41,5.37371,3.38826,5.37371,1.32913,457.08,343.8941262,0.2171,0.16334
RSM0994,2903.87,4.22776,2.64898,4.15748,1.07965,27.341,25.32394758,0.04898,0.0453665
RSM0540,2754.29,7.3057,7.1276,7.3057,1.11442,1407.57,1263.051632,0.4703,0.422013
RSM0217,953.079,4.30393,3.46273,4.2974,1.65851,174.236,105.0557428,0.21062,0.126994
RSM1672,4614.7,5.59461,4.17124,5.5868,1.43565,1056.15,735.6598057,0.36386,0.253447
RSM0997,1826.21,7.01351,4.77674,6.96552,1.46731,1177.09,802.2094854,0.39998,0.272595
RSM3859,4488.82,4.15939,3.04724,4.15939,1.18702,62.3019,52.48597328,0.06582,0.0554497
RSM1773,2412.25,5.96341,5.54999,5.95022,1.02109,1251.55,1225.699987,0.39236,0.384258
RSM2881,4804.44,8.52599,5.82023,6.87843,0.788781,1867.29,2367.311079,0.55896,0.708638
RSM3112,9242.82,7.56959,6.44554,7.50387,0.891969,1521.71,1706.012204,0.48154,0.539862
RSM1599,5091.17,10.78711,9.22291,10.78576,0.464213,2175.61,4686.663234,0.78472,1.69043
RSM3261,3419.72,3.87209,2.48649,3.80927,1.58757,4.11023,2.589007099,0.00754,0.00474941
RSM0215,835.545,3.84336,2.52769,3.82557,1.2668,13.9601,11.01997158,0.10236,0.0808021
RSM3451,4732.59,4.67162,3.9585,4.53755,1.49862,737.2864,491.9768854,0.25722,0.1716382
RSM4288,10038.5,7.07898,5.31452,7.01634,0.998068,1671.53,1674.765647,0.44374,0.444599
RSM2816,4906.64,8.03848,5.65574,8.03848,1.06612,1674.5,1570.648707,0.5009,0.469836
RSM4063,10125.9,7.81737,4.94123,7.81737,1.03321,1892.761591,1831.923414,0.50512,0.488886
RSM3275,4478.5,5.20553,3.75045,5.02164,1.3269,674.749,508.5153365,0.28214,0.2126319
RSM3294,5313.76,8.255,5.9525,8.24564,1.11832,1426.35,1275.439946,0.44568,0.398525
RSM1157,1624.0,4.75094,3.73804,4.73309,1.40294,453.797,323.4614453,0.25462,0.181491
RSM0254,699.696,3.78574,2.62,3.78054,1.92919,1.13331,0.587453802,0.0,0.0
RSM2907,3104.38,4.61538,2.90436,4.5627,1.20458,186.508,154.8323897,0.13576,0.112704
RSM2830,2400.81,4.12173,3.57853,4.12173,1.5597,120.176,77.05071488,0.1041,0.0667435
RSM2057,3476.67,5.91545,4.93297,5.80854,0.930696,2076.5,2231.125953,0.53278,0.572453
RSM1929,8548.48,6.21978,5.55178,6.21977,0.911359,2370.01,2600.522955,0.64884,0.711948
RSM0914,1443.35,6.07552,3.10239,6.07552,1.42683,627.091,439.4994498,0.25646,0.179741
RSM1460,4494.0,8.00553,6.19741,8.00553,0.932782,1441.64,1545.527251,0.46294,0.4963
RSM1151,9745.4,11.72847,10.48758,11.72847,1.03086,1474.98,1430.824748,0.57314,0.555981
RSM3041,10480.9,8.29403,6.89914,8.29403,0.556974,2219.01,3984.045934,0.61656,1.10698
RSM2995,5418.27,7.32998,6.03401,7.3267,0.822036,1996.83,2429.127192,0.56474,0.687002
RSM0900,1207.01,4.2763,3.43605,4.2763,1.62008,388.516,239.8128487,0.19784,0.122118
RSM1160,1371.86,4.50974,2.46232,4.44269,1.30005,286.848,220.6438214,0.16098,0.123826
RSM0979,1281.22,5.51146,4.60933,5.51146,1.37083,650.904,474.8247412,0.2189,0.159685
RSM0855,1435.73,9.85685,9.29464,9.85685,1.10591,1238.9,1120.253909,0.4475,0.404645
RSM0662,1515.47,10.14317,9.85365,10.14317,1.23585,1203.68,973.9693328,0.44874,0.363102
RSM3684,17941.5,5.80238,2.42429,5.80238,1.97211,202.653,102.759481,0.0984,0.0498957
RSM1823,2581.14,8.64993,8.01633,8.63141,1.0685,1249.55,1169.443145,0.43362,0.405821
RSM1820,2538.95,8.01945,7.40132,8.00563,1.23661,1266.41,1024.098139,0.42878,0.346738
RSM1816,2278.31,7.04809,6.65056,7.03557,1.241,1026.11,826.8412571,0.34142,0.275117
RSM2876,2607.39,4.60797,2.49967,4.60605,1.24925,111.85,89.53372023,0.10006,0.0800959
RSM2119,4822.93,4.62664,2.54562,4.62664,1.76913,237.418,134.2004262,0.115,0.0650037
RSM3373,6178.47,6.9167,4.63591,6.73101,0.936691,1917.85,2047.4735,0.54208,0.578718
RSM4364,9663.28,7.12423,4.20147,7.12423,1.10581,1122.57,1015.156311,0.3143,0.284225
RSM3719,7546.94,6.23549,4.07005,5.99515,1.80747,1459.4,807.4269559,0.46696,0.25835
RSM3986,14841.1,19.52135,6.64584,19.52135,1.26176,1797.01,1424.209041,0.6805,0.539324
RSM1766,2338.56,7.40475,6.25511,7.40475,1.09542,1111.52,1014.697559,0.37702,0.344178
RSM4517,26182.7,16.05314,15.78984,16.02867,0.493271,1791.64,3632.161631,0.6968,1.41261
RSM3647,10153.5,18.90864,18.72951,18.90864,0.692037,1298.86,1876.864965,0.68634,0.991768
RSM1729,1908.41,4.88127,3.7293,4.85246,1.106,509.804,460.9439421,0.23312,0.210778
RSM2680,2980.99,4.61505,2.44236,4.59141,1.26837,400.38,315.6649873,0.20088,0.158377
RSM2259,2720.57,4.30155,3.10604,4.28136,1.25049,235.224,188.1054627,0.14498,0.115938
RSM4289,34972.2,7.63373,5.31385,7.61295,0.988669,1396.2,1412.201657,0.36556,0.36975
RSM4009,9117.81,8.02024,6.48918,8.00532,0.699116,1987.050095,2842.232326,0.5777,0.826329
RSM1564,5544.11,8.05462,5.1792,8.05462,0.833153,1881.03,2257.724572,0.52918,0.635153
RSM1377,2476.64,7.72889,5.88361,7.72889,0.997869,1862.5,1866.477463,0.54964,0.550814
RSM1817,2608.21,5.58391,4.38224,5.56908,1.48991,1083.133,726.9788108,0.37618,0.252484
RSM2576,3096.42,7.07028,3.03689,7.06547,1.58944,375.782,236.4241494,0.15602,0.0981602
RSM3020,6406.7,10.02626,5.46429,10.02412,0.66541,2072.51,3114.636089,0.66564,1.00035
RSM3657,7566.57,11.26084,5.01855,11.26084,0.828925,1805.68,2178.339416,0.58362,0.704069
RSM1158,1565.15,4.67713,3.51548,4.67713,1.8935,363.367,191.9022973,0.23494,0.124077
RSM0408,1409.88,5.57167,3.60863,5.43096,2.052,805.469,392.5287524,0.30834,0.150263
RSM0452,1087.52,4.29096,2.67804,4.17991,1.64279,111.991,68.17122091,0.16688,0.101583
RSM0708,1487.35,5.97449,3.48385,5.9665,2.03706,689.234,338.3474223,0.27884,0.136883
RSM3306,3788.94,5.74983,3.78405,5.68214,1.22917,938.714,763.6974544,0.31198,0.253813
RSM0728,1715.83,5.52611,4.54089,5.51535,1.339,1351.57,1009.387603,0.45936,0.343062
RSM0342,784.546,5.26222,4.56446,5.26222,1.41259,539.215,381.7208107,0.2385,0.168838
RSM3830,6449.57,5.94246,4.25779,5.52872,0.995112,1644.84,1652.91947,0.44818,0.450382
RSM4380,9478.28,6.08861,4.66373,6.08699,1.18202,799.938,676.7550464,0.28844,0.2440228
RSM2550,6315.12,5.5226,3.96675,5.5226,1.11957,1047.23,935.3859071,0.35604,0.318016
