,structure,Density
487,RSM4138,0.961158
488,RSM1555,0.914832
489,RSM0453,1.6806
490,RSM2519,1.702
491,RSM0768,0.69563
492,RSM1884,1.29553
493,RSM1254,1.16729
494,RSM2253,1.61925
495,RSM3176,0.867592
496,RSM3696,0.624537
497,RSM3517,1.09603
498,RSM3286,0.792973
499,RSM0833,2.05916
500,RSM4532,1.00727
501,RSM4254,1.42333
502,RSM0076,1.43694
503,RSM4388,0.97779
504,RSM0067,2.03401
505,RSM2999,0.662177
506,RSM4278,0.641567
507,RSM3529,1.63041
508,RSM3433,0.232026
509,RSM4616,0.853861
510,RSM1679,1.8024
511,RSM2951,1.3372
512,RSM2819,1.50256
513,RSM3997,1.06249
514,RSM4079,0.839779
515,RSM1791,1.04983
516,RSM1877,1.28324
517,RSM2551,1.1335
518,RSM0878,2.20586
519,RSM0880,2.28594
520,RSM0134,1.9811
521,RSM1276,1.94909
522,RSM3771,0.275817
523,RSM3499,1.54053
524,RSM2211,1.04979
525,RSM0266,1.42559
526,RSM0964,1.12369
527,RSM3716,0.486668
528,RSM0009,1.62893
529,RSM2413,0.669901
530,RSM0460,1.37635
531,RSM2737,1.69759
532,RSM4120,1.24529
533,RSM4307,0.71805
534,RSM1226,1.18134
535,RSM3894,1.06303
536,RSM3323,0.766752
537,RSM1961,1.29518
538,RSM1214,0.584888
539,RSM1535,2.9697
540,RSM4614,0.634456
541,RSM1206,0.650087
542,RSM3085,0.902984
543,RSM1767,1.14406
544,RSM2631,1.97319
545,RSM2856,1.17362
546,RSM3521,1.23394
547,RSM1056,1.42405
548,RSM0291,1.42519
549,RSM4101,0.772968
550,RSM1089,0.953085
551,RSM0765,1.87818
552,RSM3485,1.55667
553,RSM1385,1.53727
554,RSM2225,1.40018
555,RSM2485,1.24451
556,RSM3440,1.21881
557,RSM3162,1.53245
558,RSM0663,1.80464
559,RSM2868,1.17963
560,RSM3484,1.41505
561,RSM1965,0.359606
562,RSM1334,1.50073
563,RSM4124,0.998389
564,RSM2633,1.21293
565,RSM1492,1.14531
566,RSM1200,1.47369
567,RSM0987,1.73815
568,RSM1916,1.21267
569,RSM0053,1.99154
570,RSM4010,0.684525
571,RSM2906,1.47375
572,RSM3262,1.11832
573,RSM4301,1.46839
574,RSM1314,1.32615
575,RSM0793,1.39971
576,RSM2448,0.644484
577,RSM2326,0.985809
578,RSM1683,1.09912
579,RSM1522,0.860523
580,RSM4575,1.22551
581,RSM1516,2.17135
582,RSM3388,1.18079
583,RSM2628,1.4485
584,RSM2012,1.3219
585,RSM4296,1.7475
586,RSM0419,1.40506
587,RSM3865,1.07141
588,RSM1985,0.99772
589,RSM0036,2.18826
590,RSM4183,0.67094
591,RSM2422,1.65838
592,RSM2347,1.26122
593,RSM2330,0.845993
594,RSM0116,1.98365
595,RSM2569,1.21494
596,RSM2231,2.39375
597,RSM3457,1.09233
598,RSM1976,1.24454
599,RSM0966,1.42153
600,RSM1315,0.932671
601,RSM1469,0.83338
602,RSM1043,2.06387
603,RSM0445,0.613047
604,RSM1540,1.26511
605,RSM2470,0.943662
606,RSM1602,1.20624
607,RSM4027,0.742955
608,RSM2674,1.03323
609,RSM2011,1.58915
610,RSM0332,1.6228
611,RSM0477,2.37509
612,RSM1224,1.28805
613,RSM0432,1.41337
614,RSM4203,1.0311
615,RSM3951,1.28432
616,RSM0525,1.82754
617,RSM4118,1.30484
618,RSM1303,1.12535
619,RSM3067,1.56522
620,RSM1466,2.09455
621,RSM2721,1.26338
622,RSM1763,1.64167
623,RSM3444,0.684964
